token,count_state,count_rest,count_total,log_odds_delta,z_score,state,comparison,state_docs_n,rest_docs_n
dim,15,223,238,0.08593710842759528,1.098354045673922,South Carolina,South Carolina_vs_rest,823,68394
sucrose,12,145,157,0.1054167255525833,1.0973518301255778,South Carolina,South Carolina_vs_rest,823,68394
essay,36,1126,1162,0.0389251151883645,1.091497220511772,South Carolina,South Carolina_vs_rest,823,68394
rising,16,259,275,0.07887329078997318,1.0824805701553424,South Carolina,South Carolina_vs_rest,823,68394
peters,5,25,30,0.23395835090489214,1.0820134609422125,South Carolina,South Carolina_vs_rest,823,68394
unintended,5,25,30,0.23395835090489214,1.0820134609422125,South Carolina,South Carolina_vs_rest,823,68394
trade,35,1110,1145,0.03831393123818039,1.0663692704792505,South Carolina,South Carolina_vs_rest,823,68394
randomness,6,38,44,0.19124745955851274,1.0658611621065424,South Carolina,South Carolina_vs_rest,823,68394
gas,23,531,554,0.05445423898517099,1.0568636452040492,South Carolina,South Carolina_vs_rest,823,68394
memo,13,187,200,0.08881269354740162,1.0409855492324813,South Carolina,South Carolina_vs_rest,823,68394
court,29,838,867,0.04256835484180854,1.0316511972631692,South Carolina,South Carolina_vs_rest,823,68394
james,21,475,496,0.055663226176784875,1.0224022459200546,South Carolina,South Carolina_vs_rest,823,68394
agnostic,4,18,22,0.2551603247960621,1.012879655749293,South Carolina,South Carolina_vs_rest,823,68394
commune,4,18,22,0.2551603247960621,1.012879655749293,South Carolina,South Carolina_vs_rest,823,68394
commands,18,370,388,0.06161599073578117,1.0018773662622027,South Carolina,South Carolina_vs_rest,823,68394
tropes,4,19,23,0.24411048744050845,0.9896199000154449,South Carolina,South Carolina_vs_rest,823,68394
soviets,4,19,23,0.24411048744050845,0.9896199000154449,South Carolina,South Carolina_vs_rest,823,68394
teleporting,4,19,23,0.24411048744050845,0.9896199000154449,South Carolina,South Carolina_vs_rest,823,68394
linguistics,6,46,52,0.16141922391926578,0.9743612197274519,South Carolina,South Carolina_vs_rest,823,68394
cowboy,5,32,37,0.18950658015151944,0.968304601218579,South Carolina,South Carolina_vs_rest,823,68394
rho,5,32,37,0.18950658015151944,0.968304601218579,South Carolina,South Carolina_vs_rest,823,68394
corporate,16,316,332,0.06425757939049781,0.9668783085830462,South Carolina,South Carolina_vs_rest,823,68394
irwin,7,64,71,0.1373779611982311,0.9659206498091527,South Carolina,South Carolina_vs_rest,823,68394
multinational,6,47,53,0.15831094879214547,0.9643582393484154,South Carolina,South Carolina_vs_rest,823,68394
identifies,8,85,93,0.11928109689475974,0.9575031482468357,South Carolina,South Carolina_vs_rest,823,68394
medieval,10,134,144,0.09527604568887327,0.9484722062602532,South Carolina,South Carolina_vs_rest,823,68394
beta,10,137,147,0.09321612064664464,0.9373045527815766,South Carolina,South Carolina_vs_rest,823,68394
plaintiff,10,138,148,0.09254777449787532,0.9336541989026297,South Carolina,South Carolina_vs_rest,823,68394
youre,34,1291,1325,0.031051713849125306,0.9286361952299628,South Carolina,South Carolina_vs_rest,823,68394
jurisdictions,4,22,26,0.21593960696690218,0.9278253866593668,South Carolina,South Carolina_vs_rest,823,68394
communist,9,116,125,0.09898720251783288,0.9185955504281883,South Carolina,South Carolina_vs_rest,823,68394
news,33,1249,1282,0.031171003416442744,0.9169699249525841,South Carolina,South Carolina_vs_rest,823,68394
alpha,14,274,288,0.06487052862498466,0.909205794746184,South Carolina,South Carolina_vs_rest,823,68394
corporation,13,243,256,0.06805043927128906,0.8996565283397036,South Carolina,South Carolina_vs_rest,823,68394
crimes,9,122,131,0.09419726292648534,0.8942651100666689,South Carolina,South Carolina_vs_rest,823,68394
forwardself,5,38,43,0.16269531568724283,0.8931889095161877,South Carolina,South Carolina_vs_rest,823,68394
erotic,6,55,61,0.13704610980788878,0.893115369740888,South Carolina,South Carolina_vs_rest,823,68394
connotations,4,24,28,0.2004354180929937,0.8920957785345666,South Carolina,South Carolina_vs_rest,823,68394
dating,11,184,195,0.076284704182628,0.8812776346347572,South Carolina,South Carolina_vs_rest,823,68394
morphemes,4,25,29,0.19346674760793015,0.8755895189156725,South Carolina,South Carolina_vs_rest,823,68394
said,63,3797,3860,0.017189509188728636,0.8754829132258171,South Carolina,South Carolina_vs_rest,823,68394
stride,7,78,85,0.11398227282513496,0.8740875577393946,South Carolina,South Carolina_vs_rest,823,68394
revolves,6,58,64,0.13041787533267168,0.8697920657934275,South Carolina,South Carolina_vs_rest,823,68394
died,22,672,694,0.0399849585609946,0.8666388393448947,South Carolina,South Carolina_vs_rest,823,68394
choices,26,903,929,0.03449532495432095,0.8642834096118526,South Carolina,South Carolina_vs_rest,823,68394
vigilante,4,26,30,0.18695206541776344,0.8598891811713265,South Carolina,South Carolina_vs_rest,823,68394
cant,30,1167,1197,0.030165255365965038,0.8573246702901651,South Carolina,South Carolina_vs_rest,823,68394
towns,8,106,114,0.0963376041807873,0.8534420640779194,South Carolina,South Carolina_vs_rest,823,68394
henry,10,164,174,0.07783438402830534,0.8495784797004321,South Carolina,South Carolina_vs_rest,823,68394
assert,8,108,116,0.09457961721219732,0.8449729025138153,South Carolina,South Carolina_vs_rest,823,68394
train,19,542,561,0.04318534202985447,0.8419689163485508,South Carolina,South Carolina_vs_rest,823,68394
douglas,6,62,68,0.1224743160895283,0.8410415955107474,South Carolina,South Carolina_vs_rest,823,68394
vague,8,110,118,0.09288037912154046,0.8367101637146875,South Carolina,South Carolina_vs_rest,823,68394
deed,4,28,32,0.17511760543281518,0.8306557373435585,South Carolina,South Carolina_vs_rest,823,68394
various,42,2129,2171,0.02168400771286816,0.8288461962621437,South Carolina,South Carolina_vs_rest,823,68394
revolution,21,667,688,0.03824538882303408,0.8251197819033128,South Carolina,South Carolina_vs_rest,823,68394
unemployment,5,45,50,0.13939974490114793,0.8227340979530355,South Carolina,South Carolina_vs_rest,823,68394
peasants,5,45,50,0.13939974490114793,0.8227340979530355,South Carolina,South Carolina_vs_rest,823,68394
guy,20,615,635,0.03968281974097998,0.8226795289472981,South Carolina,South Carolina_vs_rest,823,68394
aiko,4,29,33,0.16972675562896633,0.8170138507295706,South Carolina,South Carolina_vs_rest,823,68394
killed,16,426,442,0.04662313687230757,0.8072765361145725,South Carolina,South Carolina_vs_rest,823,68394
normalize,4,30,34,0.164646303227574,0.8039585966618567,South Carolina,South Carolina_vs_rest,823,68394
constitution,13,296,309,0.05526818099272646,0.8011999753403762,South Carolina,South Carolina_vs_rest,823,68394
old,48,2745,2793,0.018473380044582655,0.8005018910953107,South Carolina,South Carolina_vs_rest,823,68394
show,52,3112,3164,0.01735675784961721,0.8003670982846638,South Carolina,South Carolina_vs_rest,823,68394
politics,13,301,314,0.054282990726273184,0.7931398118823243,South Carolina,South Carolina_vs_rest,823,68394
monuments,3,17,20,0.21051930340059677,0.7928318329016976,South Carolina,South Carolina_vs_rest,823,68394
yumi,4,31,35,0.1598501297951067,0.7914484173815155,South Carolina,South Carolina_vs_rest,823,68394
catherine,5,49,54,0.1287519022695367,0.7885709338056079,South Carolina,South Carolina_vs_rest,823,68394
institutional,6,71,77,0.10757199685323826,0.7844461654635094,South Carolina,South Carolina_vs_rest,823,68394
variation,8,124,132,0.08240906289033667,0.7839915524199125,South Carolina,South Carolina_vs_rest,823,68394
away,48,2817,2865,0.017830812349037828,0.7824724330103765,South Carolina,South Carolina_vs_rest,823,68394
countries,25,974,999,0.030108504342543085,0.7817345949556667,South Carolina,South Carolina_vs_rest,823,68394
gave,21,726,747,0.03467984334452723,0.7791806919032236,South Carolina,South Carolina_vs_rest,823,68394
reforms,8,126,134,0.08108950900862055,0.777109987219338,South Carolina,South Carolina_vs_rest,823,68394
whos,11,231,242,0.060238785778970794,0.7733903162581581,South Carolina,South Carolina_vs_rest,823,68394
socialist,6,73,79,0.10471439612697253,0.7731494946914667,South Carolina,South Carolina_vs_rest,823,68394
kilograms,3,18,21,0.2004351831649629,0.7725767012905312,South Carolina,South Carolina_vs_rest,823,68394
youtuber,4,33,37,0.1510200480088848,0.7679166126648495,South Carolina,South Carolina_vs_rest,823,68394
oxygen,11,234,245,0.059421529105696536,0.7675168049313857,South Carolina,South Carolina_vs_rest,823,68394
destroyer,5,52,57,0.12172994590257247,0.7652590380971274,South Carolina,South Carolina_vs_rest,823,68394
tent,5,52,57,0.12172994590257247,0.7652590380971274,South Carolina,South Carolina_vs_rest,823,68394
answers,25,1006,1031,0.02895721541252172,0.7636499197400153,South Carolina,South Carolina_vs_rest,823,68394
slavery,10,199,209,0.06374903640678298,0.7610128554295127,South Carolina,South Carolina_vs_rest,823,68394
song,25,1015,1040,0.02864610806957657,0.7586981865046353,South Carolina,South Carolina_vs_rest,823,68394
selfish,6,76,82,0.10068543842743516,0.7569531341547838,South Carolina,South Carolina_vs_rest,823,68394
shaky,4,34,38,0.1469467214522755,0.7568300521381275,South Carolina,South Carolina_vs_rest,823,68394
film,35,1776,1811,0.0216536251581676,0.7559486550317308,South Carolina,South Carolina_vs_rest,823,68394
episode,22,823,845,0.03160504914288076,0.7548750302254882,South Carolina,South Carolina_vs_rest,823,68394
helmets,3,19,22,0.19124675594154716,0.7536748826796067,South Carolina,South Carolina_vs_rest,823,68394
organization,23,891,914,0.03031422926648375,0.7528721015231763,South Carolina,South Carolina_vs_rest,823,68394
lonely,8,135,143,0.07560279502747136,0.7478596072781099,South Carolina,South Carolina_vs_rest,823,68394
depart,4,35,39,0.14307824350538034,0.7461579261523044,South Carolina,South Carolina_vs_rest,823,68394
fanfiction,5,55,60,0.1153985811121796,0.7436521106718839,South Carolina,South Carolina_vs_rest,823,68394
country,38,2071,2109,0.019709341361145327,0.7422964051436427,South Carolina,South Carolina_vs_rest,823,68394
narrative,17,542,559,0.03807929778865393,0.7405038161165741,South Carolina,South Carolina_vs_rest,823,68394
cobham,3,20,23,0.18283941893656497,0.7359802985004291,South Carolina,South Carolina_vs_rest,823,68394
corporations,7,108,115,0.08279313478957917,0.7352196840112509,South Carolina,South Carolina_vs_rest,823,68394
solve,20,726,746,0.03275115514010629,0.7351312266906115,South Carolina,South Carolina_vs_rest,823,68394
cities,17,548,565,0.03760186325936665,0.7350782774945186,South Carolina,South Carolina_vs_rest,823,68394
burstiness,6,81,87,0.09457916488162077,0.7317644993784578,South Carolina,South Carolina_vs_rest,823,68394
michael,15,443,458,0.04153553647525143,0.7315085788099845,South Carolina,South Carolina_vs_rest,823,68394
tide,7,109,116,0.08202781351555188,0.7315016805556236,South Carolina,South Carolina_vs_rest,823,68394
manners,4,37,41,0.1358968817587627,0.7259563262405129,South Carolina,South Carolina_vs_rest,823,68394
coastline,3,21,24,0.17511737167364672,0.7193680100750438,South Carolina,South Carolina_vs_rest,823,68394
see,89,7681,7770,0.009940508506584678,0.7174628282376646,South Carolina,South Carolina_vs_rest,823,68394
moles,13,355,368,0.04533517749175431,0.716114421981754,South Carolina,South Carolina_vs_rest,823,68394
paragraph,28,1325,1353,0.02368514773809416,0.7149385217206614,South Carolina,South Carolina_vs_rest,823,68394
reign,6,85,91,0.09017062992119307,0.7130598461559065,South Carolina,South Carolina_vs_rest,823,68394
unbreakable,5,60,65,0.10612493848212523,0.7108928927531553,South Carolina,South Carolina_vs_rest,823,68394
slaves,7,115,122,0.07769611656076947,0.7101135467575871,South Carolina,South Carolina_vs_rest,823,68394
college,26,1184,1210,0.02486195325901619,0.7098281878367891,South Carolina,South Carolina_vs_rest,823,68394
quotes,13,361,374,0.04449921132828116,0.708524769596102,South Carolina,South Carolina_vs_rest,823,68394
erosion,4,39,43,0.12937157078588513,0.7071309584785183,South Carolina,South Carolina_vs_rest,823,68394
democracy,9,186,195,0.06126487295737526,0.7061731092048404,South Carolina,South Carolina_vs_rest,823,68394
atoms,17,595,612,0.03418374747880648,0.6951240122273045,South Carolina,South Carolina_vs_rest,823,68394
youll,12,324,336,0.04590746355408193,0.692970300322267,South Carolina,South Carolina_vs_rest,823,68394
got,45,2916,2961,0.01551363966150987,0.6918408511024248,South Carolina,South Carolina_vs_rest,823,68394
liability,7,121,128,0.07376572829460848,0.6901692094758753,South Carolina,South Carolina_vs_rest,823,68394
buried,7,121,128,0.07376572829460848,0.6901692094758753,South Carolina,South Carolina_vs_rest,823,68394
cannabis,4,41,45,0.12341621585924578,0.6895291130113803,South Carolina,South Carolina_vs_rest,823,68394
weed,3,23,26,0.16141852497746534,0.6889744425369024,South Carolina,South Carolina_vs_rest,823,68394
roblox,7,122,129,0.07314579175626434,0.6869738055629123,South Carolina,South Carolina_vs_rest,823,68394
rules,26,1239,1265,0.02347479571497324,0.6851350961250806,South Carolina,South Carolina_vs_rest,823,68394
reversed,4,42,46,0.12062940378308618,0.6811456326174953,South Carolina,South Carolina_vs_rest,823,68394
facts,11,287,298,0.04767404975717504,0.6779075312731411,South Carolina,South Carolina_vs_rest,823,68394
algorithms,12,336,348,0.04409091860237879,0.6771395787937131,South Carolina,South Carolina_vs_rest,823,68394
contrast,13,388,401,0.04104463893444077,0.6763356782730434,South Carolina,South Carolina_vs_rest,823,68394
cynical,3,24,27,0.15531474087043584,0.6750188214973143,South Carolina,South Carolina_vs_rest,823,68394
passenger,3,24,27,0.15531474087043584,0.6750188214973143,South Carolina,South Carolina_vs_rest,823,68394
endgame,3,24,27,0.15531474087043584,0.6750188214973143,South Carolina,South Carolina_vs_rest,823,68394
declared,9,201,210,0.056422752027518897,0.6744145926074939,South Carolina,South Carolina_vs_rest,823,68394
boy,23,1036,1059,0.02520427540022041,0.6732420798802199,South Carolina,South Carolina_vs_rest,823,68394
factors,20,826,846,0.028055282742895926,0.6701097294559581,South Carolina,South Carolina_vs_rest,823,68394
defendant,6,97,103,0.07897414811004388,0.6633365947447489,South Carolina,South Carolina_vs_rest,823,68394
fred,6,97,103,0.07897414811004388,0.6633365947447489,South Carolina,South Carolina_vs_rest,823,68394
honest,9,207,216,0.05467245285232458,0.6625863711193944,South Carolina,South Carolina_vs_rest,823,68394
mercenary,3,25,28,0.14963828169662108,0.6617925154871118,South Carolina,South Carolina_vs_rest,823,68394
rouge,3,25,28,0.14963828169662108,0.6617925154871118,South Carolina,South Carolina_vs_rest,823,68394
verifiable,3,25,28,0.14963828169662108,0.6617925154871118,South Carolina,South Carolina_vs_rest,823,68394
citys,3,25,28,0.14963828169662108,0.6617925154871118,South Carolina,South Carolina_vs_rest,823,68394
ideology,7,131,138,0.06796619745069243,0.659709811882865,South Carolina,South Carolina_vs_rest,823,68394
describe,73,6234,6307,0.010117498733070995,0.6579267421192205,South Carolina,South Carolina_vs_rest,823,68394
debts,4,45,49,0.11294034060832914,0.6574947469538271,South Carolina,South Carolina_vs_rest,823,68394
nobles,4,46,50,0.11057906325367028,0.6500694748954503,South Carolina,South Carolina_vs_rest,823,68394
beliefs,14,469,483,0.03597012455003146,0.6499866209953665,South Carolina,South Carolina_vs_rest,823,68394
lied,3,26,29,0.14434570716184147,0.6492329903396944,South Carolina,South Carolina_vs_rest,823,68394
mei,5,72,77,0.0887163610264814,0.6452050976876635,South Carolina,South Carolina_vs_rest,823,68394
