token,count_state,count_rest,count_total,log_odds_delta,z_score,state,comparison,state_docs_n,rest_docs_n
relational,1,47,48,0.03043804662677374,0.17305947209184075,New Hampshire,New Hampshire_vs_rest,344,68873
oscar,1,47,48,0.03043804662677374,0.17305947209184075,New Hampshire,New Hampshire_vs_rest,344,68873
anna,2,185,187,0.015348029814715503,0.17181994495881245,New Hampshire,New Hampshire_vs_rest,344,68873
informed,3,404,407,0.010384194952429482,0.17136311830862774,New Hampshire,New Hampshire_vs_rest,344,68873
audio,3,407,410,0.0103035871527144,0.17065615140053197,New Hampshire,New Hampshire_vs_rest,344,68873
com,1,49,50,0.029200422494419342,0.16941278854289077,New Hampshire,New Hampshire_vs_rest,344,68873
annie,1,49,50,0.029200422494419342,0.16941278854289077,New Hampshire,New Hampshire_vs_rest,344,68873
angry,3,416,419,0.010068677283422645,0.1685792998026711,New Hampshire,New Hampshire_vs_rest,344,68873
nickelodeon,1,50,51,0.02861784153884983,0.16766928713907392,New Hampshire,New Hampshire_vs_rest,344,68873
references,3,422,425,0.009917588392397647,0.1672301491799926,New Hampshire,New Hampshire_vs_rest,344,68873
tale,2,195,197,0.014537852902577697,0.1670229313448523,New Hampshire,New Hampshire_vs_rest,344,68873
dropped,2,198,200,0.014310559767412911,0.16565258499036983,New Hampshire,New Hampshire_vs_rest,344,68873
peter,3,431,434,0.009698774672944666,0.1652571085552907,New Hampshire,New Hampshire_vs_rest,344,68873
pbs,1,52,53,0.027518335993429233,0.16432934957321868,New Hampshire,New Hampshire_vs_rest,344,68873
arthur,2,201,203,0.014089968510001327,0.1643118892835369,New Hampshire,New Hampshire_vs_rest,344,68873
november,3,447,450,0.009331348238493575,0.16189104839559906,New Hampshire,New Hampshire_vs_rest,344,68873
kids,5,1160,1165,0.005779206200983822,0.16123117156270478,New Hampshire,New Hampshire_vs_rest,344,68873
animation,3,455,458,0.009157246368440397,0.1602718993858413,New Hampshire,New Hampshire_vs_rest,344,68873
ferdinand,1,55,56,0.026015705790888077,0.15965403125117597,New Hampshire,New Hampshire_vs_rest,344,68873
seasonal,1,56,57,0.025549830996748568,0.15817694926015446,New Hampshire,New Hampshire_vs_rest,344,68873
brian,1,56,57,0.025549830996748568,0.15817694926015446,New Hampshire,New Hampshire_vs_rest,344,68873
states,8,2781,2789,0.0036484159613934253,0.1574321017208813,New Hampshire,New Hampshire_vs_rest,344,68873
holiday,2,219,221,0.01289190997313483,0.15683365711723982,New Hampshire,New Hampshire_vs_rest,344,68873
jam,1,57,58,0.02509995459913661,0.1567376163537075,New Hampshire,New Hampshire_vs_rest,344,68873
actor,2,221,223,0.01277070498558075,0.1560574684892932,New Hampshire,New Hampshire_vs_rest,344,68873
company,8,2960,2968,0.00338926571567999,0.1508633001661148,New Hampshire,New Hampshire_vs_rest,344,68873
gathering,2,239,241,0.011770202744564529,0.14949909050029683,New Hampshire,New Hampshire_vs_rest,344,68873
downstairs,1,63,64,0.022694821857699665,0.14881088604587697,New Hampshire,New Hampshire_vs_rest,344,68873
inc,2,242,244,0.011617775019914234,0.1484749233320606,New Hampshire,New Hampshire_vs_rest,344,68873
