covariate,topic,spearman_rho_recomputed,p_value_recomputed,fdr_q_value_recomputed,n_states_recomputed,spearman_rho_c,p_value_c,fdr_q_value_c,n_states_c,rho_abs_diff,p_abs_diff,q_abs_diff
education,topic_69,0.14898137601811726,0.3858348693476932,0.6833690266844745,36,0.1489813760181172,0.3858348693476932,0.6833690266844745,36,5.551115123125783e-17,0.0,0.0
education,topic_7,0.2496498924446868,0.14199522612921922,0.6497040315262005,36,0.2496498924446868,0.1419952261292192,0.6497040315262005,36,0.0,2.7755575615628914e-17,0.0
education,topic_70,0.09115969240117071,0.5969732307306732,0.8320828312501882,36,0.0911596924011707,0.5969732307306732,0.8320828312501882,36,1.3877787807814457e-17,0.0,0.0
education,topic_71,0.06643274775113028,0.7002707071392463,0.8320828312501882,36,0.0664327477511302,0.7002707071392463,0.8320828312501882,36,8.326672684688674e-17,0.0,0.0
education,topic_72,0.2330511193982802,0.17134988452390215,0.6627750968129021,36,0.2330511193982802,0.1713498845239021,0.6627750968129021,36,0.0,5.551115123125783e-17,0.0
education,topic_73,-0.06255479213475144,0.7170247164679966,0.8320828312501882,36,-0.0625547921347514,0.7170247164679966,0.8320828312501882,36,4.163336342344337e-17,0.0,0.0
education,topic_74,0.2964024047443571,0.07920163739080419,0.5483257938210063,36,0.2964024047443571,0.0792016373908041,0.5483257938210063,36,0.0,8.326672684688674e-17,0.0
education,topic_75,0.049767539468124594,0.7731587846594908,0.8320828312501882,36,0.0497675394681245,0.7731587846594908,0.8320828312501882,36,9.71445146547012e-17,0.0,0.0
education,topic_8,0.06731883181008223,0.696461678433504,0.8320828312501882,36,0.0673188318100822,0.696461678433504,0.8320828312501882,36,2.7755575615628914e-17,0.0,0.0
education,topic_9,0.17930501892445969,0.29538921417172864,0.6627750968129021,36,0.1793050189244596,0.2953892141717286,0.6627750968129021,36,8.326672684688674e-17,5.551115123125783e-17,0.0
income,topic_0,-0.03232453986292928,0.8515420552088587,0.99386640120813,36,-0.0323245398629292,0.8515420552088587,0.99386640120813,36,8.326672684688674e-17,0.0,0.0
income,topic_1,0.06856503213209922,0.6911169767838302,0.8773909543944624,36,0.0685650321320992,0.6911169767838302,0.8773909543944624,36,1.3877787807814457e-17,0.0,0.0
income,topic_10,-0.13789135422007942,0.42255787924996885,0.7853379306626771,36,-0.1378913542200794,0.4225578792499688,0.7853379306626771,36,2.7755575615628914e-17,5.551115123125783e-17,0.0
income,topic_11,-0.17664544172997887,0.30272820189709476,0.6799815565092676,36,-0.1766454417299788,0.3027282018970947,0.6799815565092676,36,5.551115123125783e-17,5.551115123125783e-17,0.0
income,topic_12,0.0503898908408747,0.7703977384542644,0.914847314414439,36,0.0503898908408747,0.7703977384542644,0.914847314414439,36,0.0,0.0,0.0
income,topic_13,0.3356781283555371,0.04534007245649088,0.31325868242666427,36,0.3356781283555371,0.0453400724564908,0.3132586824266642,36,0.0,8.326672684688674e-17,5.551115123125783e-17
income,topic_14,0.0012873326894239296,0.9940547024215237,0.9970261825050029,36,0.0012873326894239,0.9940547024215236,0.9970261825050027,36,2.949029909160572e-17,1.1102230246251565e-16,1.1102230246251565e-16
income,topic_15,0.08359336705716584,0.6278826871501396,0.8521265039894752,36,0.0835933670571658,0.6278826871501396,0.8521265039894752,36,4.163336342344337e-17,0.0,0.0
income,topic_16,0.25837358256732224,0.12813485828969023,0.5383656107600943,36,0.2583735825673222,0.1281348582896902,0.5383656107600943,36,5.551115123125783e-17,2.7755575615628914e-17,0.0
income,topic_17,0.08886601495372573,0.6062733110360318,0.8494379654630266,36,0.0888660149537257,0.6062733110360318,0.8494379654630266,36,2.7755575615628914e-17,0.0,0.0
income,topic_18,-0.004509841123056145,0.9791742441263809,0.9970261825050029,36,-0.0045098411230561,0.9791742441263808,0.9970261825050027,36,4.5102810375396984e-17,1.1102230246251565e-16,1.1102230246251565e-16
income,topic_19,-0.015583750448406972,0.9281219365512985,0.9970261825050029,36,-0.0155837504484069,0.9281219365512984,0.9970261825050027,36,7.112366251504909e-17,1.1102230246251565e-16,1.1102230246251565e-16
income,topic_2,0.2240957670771571,0.1888778975030527,0.6524872822832729,36,0.2240957670771571,0.1888778975030527,0.6524872822832729,36,0.0,0.0,0.0
income,topic_20,0.06658082513599377,0.6996336594040488,0.8773909543944624,36,0.0665808251359937,0.6996336594040488,0.8773909543944624,36,6.938893903907228e-17,0.0,0.0
income,topic_21,0.0006439151367117386,0.9970261825050029,0.9970261825050029,36,0.0006439151367117,0.9970261825050027,0.9970261825050027,36,3.859759734048396e-17,1.1102230246251565e-16,1.1102230246251565e-16
income,topic_22,0.022910097222291047,0.894488691088405,0.9970261825050029,36,0.022910097222291,0.894488691088405,0.9970261825050027,36,4.85722573273506e-17,0.0,1.1102230246251565e-16
income,topic_23,0.1887229722695481,0.27032358341298235,0.6799815565092676,36,0.1887229722695481,0.2703235834129823,0.6799815565092676,36,0.0,5.551115123125783e-17,0.0
income,topic_24,0.12860400388907314,0.4547591355395651,0.7853379306626771,36,0.1286040038890731,0.4547591355395651,0.7853379306626771,36,5.551115123125783e-17,0.0,0.0
income,topic_25,0.4444846353929747,0.006608525976344486,0.12556199355054523,36,0.4444846353929747,0.0066085259763444,0.1255619935505452,36,0.0,8.586881206085195e-17,2.7755575615628914e-17
income,topic_26,0.27175203616759847,0.10886711991360472,0.5383656107600943,36,0.2717520361675984,0.1088671199136047,0.5383656107600943,36,5.551115123125783e-17,1.3877787807814457e-17,0.0
income,topic_27,0.21399682306941933,0.2101163157262897,0.6799815565092676,36,0.2139968230694193,0.2101163157262897,0.6799815565092676,36,2.7755575615628914e-17,0.0,0.0
income,topic_28,0.025303761858274706,0.8835363413489993,0.9970261825050029,36,0.0253037618582747,0.8835363413489993,0.9970261825050027,36,6.938893903907228e-18,0.0,1.1102230246251565e-16
income,topic_29,0.06018890927052414,0.7273109227217254,0.8773909543944624,36,0.0601889092705241,0.7273109227217254,0.8773909543944624,36,3.469446951953614e-17,0.0,0.0
income,topic_3,0.10425381320256037,0.5451127643771352,0.8285714018532455,36,0.1042538132025603,0.5451127643771352,0.8285714018532455,36,6.938893903907228e-17,0.0,0.0
