state,topic,topic_proportion,topic_zscore,rank_within_topic_desc
Oregon,topic_merged_0,0.31578947368421056,2.933418245880715,1.0
Pennsylvania,topic_merged_0,0.0041647385469689956,-0.6268330570199033,28.0
South Carolina,topic_merged_0,0.002631578947368421,-0.6443491038755184,29.0
Tennessee,topic_merged_0,0.0,-0.6744143757222093,33.0
Texas,topic_merged_0,0.02364864864864865,-0.4042332165593778,16.0
Utah,topic_merged_0,0.25874125874125875,2.281653611441958,3.0
Virginia,topic_merged_0,0.0470219435736677,-0.13719791952741675,12.0
Washington,topic_merged_0,0.30147058823529416,2.769827796126661,2.0
Wisconsin,topic_merged_0,0.001834862385321101,-0.6534514338841495,30.0
Alabama,topic_merged_1,0.0,-0.41711729234255096,33.0
Arizona,topic_merged_1,0.02337228714524207,0.015717661593130282,9.0
Arkansas,topic_merged_1,0.025210084033613446,0.049752102748937155,7.0
California,topic_merged_1,0.012226184411614875,-0.19069871662828877,16.0
Colorado,topic_merged_1,0.004098360655737705,-0.3412191256541806,30.0
Connecticut,topic_merged_1,0.005252790544977019,-0.31984006228628115,27.0
District of Columbia,topic_merged_1,0.03278688524590164,0.19006804116441173,4.0
Florida,topic_merged_1,0.007965686274509803,-0.26959953208794885,23.0
Georgia,topic_merged_1,0.007321537522879805,-0.2815286211628387,25.0
Illinois,topic_merged_1,0.015587529976019185,-0.12844944493786187,13.0
Indiana,topic_merged_1,0.007936507936507936,-0.27013989018411955,24.0
Iowa,topic_merged_1,0.011363636363636364,-0.20667237561570592,18.0
Kansas,topic_merged_1,0.0,-0.41711729234255096,33.0
Kentucky,topic_merged_1,0.0,-0.41711729234255096,33.0
Louisiana,topic_merged_1,0.0,-0.41711729234255096,33.0
Maryland,topic_merged_1,0.005,-0.3245215289827391,28.0
Massachusetts,topic_merged_1,0.004726536124240378,-0.32958584824819814,29.0
Michigan,topic_merged_1,0.00036563071297989033,-0.41034612134731796,32.0
Minnesota,topic_merged_1,0.009708737864077669,-0.23731969358563484,22.0
Missouri,topic_merged_1,0.02975206611570248,0.13386576236046144,5.0
Nebraska,topic_merged_1,0.02631578947368421,0.07022883060382695,6.0
Nevada,topic_merged_1,0.005988023952095809,-0.3062241625703212,26.0
New Jersey,topic_merged_1,0.011406844106463879,-0.2058722048296723,17.0
New York,topic_merged_1,0.010545454545454545,-0.22182440962003877,20.0
North Carolina,topic_merged_1,0.017123287671232876,-0.10000851371305848,10.0
Ohio,topic_merged_1,0.01662971175166297,-0.10914912152277778,11.0
Oklahoma,topic_merged_1,0.025,0.0458615244565081,8.0
Oregon,topic_merged_1,0.05847953216374269,0.6658740919827332,2.0
Pennsylvania,topic_merged_1,0.002776492364645997,-0.36569900634913394,31.0
South Carolina,topic_merged_1,0.015789473684210527,-0.1247096185747242,12.0
Tennessee,topic_merged_1,0.0111731843575419,-0.2101993853932508,19.0
Texas,topic_merged_1,0.015202702702702704,-0.13557611996474478,14.0
Utah,topic_merged_1,0.03496503496503497,0.23040552835543376,3.0
Virginia,topic_merged_1,0.012539184952978056,-0.18490221181637714,15.0
Washington,topic_merged_1,0.010294117647058823,-0.22647895601352666,21.0
Wisconsin,topic_merged_1,0.3339449541284404,5.767260297193505,1.0
Alabama,topic_merged_2,0.0,-0.5768724582491964,31.0
Arizona,topic_merged_2,0.00333889816360601,-0.5147345352000638,26.0
Arkansas,topic_merged_2,0.21008403361344538,3.332856103350641,2.0
California,topic_merged_2,0.016131771098658515,-0.27665523027238437,14.0
Colorado,topic_merged_2,0.00819672131147541,-0.42432895043595686,20.0
Connecticut,topic_merged_2,0.0016414970453053185,-0.5463236927317716,28.0
District of Columbia,topic_merged_2,0.04918032786885246,0.3383885886302409,7.0
Florida,topic_merged_2,0.003676470588235294,-0.5084522084211993,24.0
Georgia,topic_merged_2,0.0036607687614399025,-0.5087444242532896,25.0
Illinois,topic_merged_2,0.050359712230215826,0.36033729479041926,6.0
Indiana,topic_merged_2,0.015873015873015872,-0.2814707447060976,15.0
Iowa,topic_merged_2,0.0,-0.5768724582491964,31.0
Kansas,topic_merged_2,0.0,-0.5768724582491964,31.0
Kentucky,topic_merged_2,0.0,-0.5768724582491964,31.0
Louisiana,topic_merged_2,0.23255813953488372,3.7511061355217863,1.0
Maryland,topic_merged_2,0.005,-0.4838209184831203,23.0
Massachusetts,topic_merged_2,0.00675219446320054,-0.45121203992903963,21.0
Michigan,topic_merged_2,0.0005484460694698354,-0.5666657080006324,30.0
Minnesota,topic_merged_2,0.009708737864077669,-0.39618985676167,18.0
Missouri,topic_merged_2,0.01487603305785124,-0.30002490192037484,16.0
Nebraska,topic_merged_2,0.0,-0.5768724582491964,31.0
Nevada,topic_merged_2,0.011976047904191617,-0.35399451868973264,17.0
New Jersey,topic_merged_2,0.0063371356147021544,-0.4589364129183015,22.0
New York,topic_merged_2,0.029454545454545455,-0.028714296718129757,9.0
North Carolina,topic_merged_2,0.017123287671232876,-0.258202801516059,13.0
Ohio,topic_merged_2,0.008869179600886918,-0.4118142945843164,19.0
Oklahoma,topic_merged_2,0.025,-0.11161475941881575,11.0
Oregon,topic_merged_2,0.0029239766081871343,-0.5224563531228361,27.0
Pennsylvania,topic_merged_2,0.048588616381304954,0.32737665562752677,8.0
South Carolina,topic_merged_2,0.07368421052631578,0.7944133909350833,5.0
Tennessee,topic_merged_2,0.09497206703910614,1.1905869563019702,4.0
Texas,topic_merged_2,0.1204954954954955,1.665585819897233,3.0
Utah,topic_merged_2,0.0,-0.5768724582491964,31.0
