topic,log_odds,z_score,group1_mean,group2_mean,significant,direction
topic_72,0.2738808333355083,0.028627830685415197,0.0015500996795007613,0.0010090683378254576,False,high_edu
topic_17,0.08662712880305223,0.02846953973987541,0.02273855592624224,0.02073996769821509,False,high_edu
topic_25,0.11263332703082085,0.024357422495683307,0.009354883119196872,0.008287869936402141,False,high_edu
topic_45,0.07970701493204224,0.01637102904203832,0.008177468517769928,0.0075157526523572365,False,high_edu
topic_1,0.10386869725062287,0.011346028210663075,0.0015485657240607272,0.001379191103108849,False,high_edu
topic_20,0.03744966065775923,0.00877773646781507,0.010738908202534671,0.010330114839505843,False,high_edu
topic_57,0.10112965587532852,0.007543471724842562,0.00012748171368861023,0.00011086474501108647,False,high_edu
topic_75,0.09795100494242792,0.007300577825385255,0.0001235553854024658,0.00011086474501108647,False,high_edu
topic_73,0.09763846956391564,0.006904082393332108,0.0,0.0,False,high_edu
topic_16,0.004744912503180654,0.0014399408741943127,0.018446650665441624,0.01831525754949983,False,high_edu
topic_55,-0.007603427331893009,-0.0005515816229670456,0.0,0.00011086474501108647,False,low_edu
topic_49,-0.007899730296876406,-0.0013530746763159285,0.0050821938830172084,0.00519353461907661,False,low_edu
topic_68,-0.024495916209605895,-0.0039669172691598874,0.004382268175568522,0.0045850676464576235,False,low_edu
topic_58,-0.031670658167226584,-0.00575406268781666,0.005780350702006756,0.006056379223196468,False,low_edu
topic_28,-0.19338834695229767,-0.021958917690925485,0.0013929450853638328,0.002013162988772745,False,low_edu
topic_65,-0.3045053114159675,-0.05271430163176148,0.004450302542904291,0.0064686666292620406,False,low_edu
topic_44,-0.5858965857249512,-0.05719360480622894,0.00048286633654406045,0.0018381188395535596,False,low_edu
topic_36,-0.2854123872325438,-0.06022478104528664,0.007217915836770414,0.009966091706152105,False,low_edu
topic_15,-0.3200662566458634,-0.06361113841897219,0.006175535020298537,0.008931989908523213,False,low_edu
topic_48,-0.37387011019580996,-0.06869915921085323,0.004987938446004512,0.007772652878173544,False,low_edu
topic_66,-0.8279136174143682,-0.07231201062983836,7.295542423579193e-05,0.001684904246561148,False,low_edu
topic_19,-0.20210285515984827,-0.07408664429536377,0.02494472024428003,0.030473946879633534,False,low_edu
topic_70,-0.548847499676647,-0.0763964408373769,0.002172084769617797,0.0046273350434039105,False,low_edu
topic_0,-0.31176345529685534,-0.07703157579607715,0.010194325122310272,0.014262871989490233,False,low_edu
topic_31,-0.32880197076833984,-0.09819278367658311,0.015306194054362158,0.021498401502363457,False,low_edu
topic_14,-0.3852006177160523,-0.1306943776497971,0.019643705556752333,0.029000329691795605,False,low_edu
topic_33,-0.572128049674884,-0.134173479448203,0.008148420043980663,0.015173817365196149,False,low_edu
topic_22,-0.42842603741210894,-0.14333904701494363,0.018748804352871084,0.028951067747096538,False,low_edu
topic_37,-0.4364811597785754,-0.14553031810020464,0.018553823752909857,0.02889305302458431,False,low_edu
topic_52,-1.6385589082371173,-0.15103659271225633,0.0,0.004651162790697674,False,low_edu
topic_18,-1.001904332831221,-0.15157403612070802,0.002283481623587963,0.00812383643742079,False,low_edu
topic_39,-0.7861826384529511,-0.156931341156199,0.005158237718572368,0.012560389819605652,False,low_edu
topic_30,-0.48261072353718637,-0.15816910796916628,0.017575995982638128,0.028725193161543046,False,low_edu
topic_38,-0.7076123816842603,-0.1624814258996241,0.007387125220682504,0.015972954580284998,False,low_edu
topic_69,-0.9309170589646829,-0.1725558045476749,0.004081594513653183,0.01197497637641173,False,low_edu
topic_5,-1.0416273309795292,-0.18953998215786125,0.0037552219984804164,0.012571272492960759,False,low_edu
topic_12,-0.5631889181501317,-0.1896561820711934,0.018084125531589043,0.03200754741591365,False,low_edu
topic_56,-1.299512586181998,-0.2292440069277864,0.003210904491319555,0.01456215405471852,False,low_edu
topic_11,-1.5836767487676306,-0.23690558937083245,0.0018430345057683086,0.013133870640593712,False,low_edu
topic_59,-2.1408728757651616,-0.24361262878485415,0.00048270468775663634,0.012305986696230599,False,low_edu
topic_40,-1.0538678599508144,-0.2515350668111552,0.0072487935299603385,0.02245759742463207,False,low_edu
topic_35,-0.857392053266667,-0.2659705763620274,0.013772433841283207,0.03317101957513445,False,low_edu
topic_34,-1.05425552356414,-0.28926530739228873,0.009948019506091227,0.0299015247530453,False,low_edu
topic_32,-0.7947173960037706,-0.294556064358089,0.020558658693143057,0.04547213104222961,False,low_edu
topic_64,-1.6259374319384854,-0.317249806653934,0.0038880552458773815,0.02374796327773525,False,low_edu
topic_10,-1.3947221768621567,-0.4748045851935104,0.014790153322147951,0.05993324835655296,False,low_edu
topic_6,-1.2485877357790187,-0.5892985084748935,0.030548403186952917,0.10108042018675237,False,low_edu
